Date,Price,Open,High,Low,Change %
24/11/2009,5324.00,5355.50,5374.90,5309.10,-0.59
23/11/2009,5355.50,5251.40,5379.50,5251.40,1.98
20/11/2009,5251.40,5267.70,5309.40,5224.00,-0.31
19/11/2009,5267.70,5342.10,5343.80,5254.20,-1.39
18/11/2009,5342.10,5345.90,5372.10,5331.60,-0.07
17/11/2009,5345.90,5382.70,5382.70,5337.00,-0.68
16/11/2009,5382.70,5296.40,5397.00,5296.40,1.63
13/11/2009,5296.40,5276.50,5297.40,5251.30,0.38
12/11/2009,5276.50,5266.80,5304.90,5254.10,0.18
11/11/2009,5266.80,5230.50,5301.10,5230.50,0.69
10/11/2009,5230.50,5235.20,5264.30,5221.50,-0.09
09/11/2009,5235.20,5142.70,5240.00,5142.70,1.80
06/11/2009,5142.70,5125.60,5159.00,5077.90,0.33
05/11/2009,5125.60,5107.10,5154.60,5036.90,0.35
04/11/2009,5107.90,5037.20,5120.80,5037.20,1.40
03/11/2009,5037.20,5104.50,5104.50,4985.10,-1.32
02/11/2009,5104.50,5044.50,5115.70,5022.50,1.19
30/10/2009,5044.50,5137.70,5169.90,5024.40,-1.81
29/10/2009,5137.70,5080.40,5145.60,5042.70,1.13
28/10/2009,5080.40,5201.00,5201.00,5074.10,-2.32
27/10/2009,5201.00,5191.70,5230.60,5181.90,0.18
26/10/2009,5191.70,5242.60,5281.10,5166.40,-0.97
23/10/2009,5242.60,5207.40,5299.60,5207.40,0.68
22/10/2009,5207.40,5257.90,5257.90,5166.50,-0.96
21/10/2009,5257.90,5243.40,5268.00,5174.50,0.28
20/10/2009,5243.40,5281.50,5298.50,5243.40,-0.72
19/10/2009,5281.50,5190.20,5281.50,5190.20,1.76
16/10/2009,5190.20,5223.00,5272.90,5176.40,-0.63
15/10/2009,5223.00,5256.10,5267.90,5218.90,-0.63
14/10/2009,5256.10,5154.10,5261.30,5154.10,1.98
13/10/2009,5154.10,5210.20,5221.60,5154.10,-1.08
12/10/2009,5210.20,5161.90,5231.20,5161.90,0.94
09/10/2009,5161.90,5154.60,5171.50,5130.40,0.14
08/10/2009,5154.60,5108.90,5172.80,5108.90,0.89
07/10/2009,5108.90,5138.00,5156.20,5104.50,-0.57
06/10/2009,5138.00,5024.30,5149.90,5024.30,2.26
05/10/2009,5024.30,4988.70,5024.30,4976.90,0.71
02/10/2009,4988.70,5047.80,5047.80,4955.00,-1.17
01/10/2009,5047.80,5133.90,5164.40,5044.00,-1.68
30/09/2009,5133.90,5159.70,5190.00,5092.80,-0.50
29/09/2009,5159.70,5165.70,5184.00,5136.50,-0.12
28/09/2009,5165.70,5082.20,5170.80,5050.80,1.64
25/09/2009,5082.20,5079.30,5121.90,5079.00,0.06
24/09/2009,5079.30,5139.40,5165.40,5073.40,-1.17
23/09/2009,5139.40,5142.60,5175.10,5126.60,-0.06
22/09/2009,5142.60,5134.40,5189.90,5134.40,0.16
21/09/2009,5134.40,5172.90,5182.20,5107.70,-0.74
18/09/2009,5172.90,5164.00,5183.90,5147.10,0.17
