Date,Month,Year,Close,Open,High,Low,Change %
24,11,2009,1.6575,1.6609,1.6620,1.6497,-0.21
23,11,2009,1.6610,1.6500,1.6650,1.6473,0.61
20,11,2009,1.6509,1.6665,1.6676,1.6459,-0.91
19,11,2009,1.6660,1.6745,1.6757,1.6606,-0.50
18,11,2009,1.6744,1.6815,1.6846,1.6714,-0.42
17,11,2009,1.6814,1.6823,1.6873,1.6754,-0.08
16,11,2009,1.6828,1.6715,1.6879,1.6668,0.83
13,11,2009,1.6690,1.6579,1.6706,1.6569,0.61
12,11,2009,1.6588,1.6571,1.6629,1.6516,0.12
11,11,2009,1.6568,1.6742,1.6799,1.6536,-0.99
10,11,2009,1.6734,1.6761,1.6789,1.6600,-0.11
09,11,2009,1.6753,1.6662,1.6845,1.6618,0.79
06,11,2009,1.6621,1.6577,1.6638,1.6520,0.17
05,11,2009,1.6593,1.6566,1.6639,1.6467,0.16
04,11,2009,1.6566,1.6440,1.6599,1.6401,0.90
03,11,2009,1.6418,1.6405,1.6457,1.6262,0.16
02,11,2009,1.6391,1.6415,1.6480,1.6328,-0.35
30,10,2009,1.6448,1.6563,1.6580,1.6408,-0.67
29,10,2009,1.6559,1.6386,1.6606,1.6336,1.09
28,10,2009,1.6380,1.6381,1.6468,1.6286,-0.01
27,10,2009,1.6382,1.6310,1.6441,1.6287,0.34
26,10,2009,1.6326,1.6295,1.6397,1.6251,0.12
23,10,2009,1.6307,1.6616,1.6696,1.6300,-1.90
22,10,2009,1.6622,1.6581,1.6638,1.6487,0.11
21,10,2009,1.6603,1.6381,1.6639,1.6348,1.31
20,10,2009,1.6388,1.6432,1.6490,1.6328,-0.13
19,10,2009,1.6410,1.6314,1.6425,1.6241,0.32
16,10,2009,1.6357,1.6269,1.6402,1.6252,0.52
15,10,2009,1.6273,1.5997,1.6300,1.5992,1.85
14,10,2009,1.5977,1.5931,1.6028,1.5903,0.31
13,10,2009,1.5927,1.5800,1.5940,1.5707,0.83
12,10,2009,1.5796,1.5860,1.5884,1.5729,-0.26
09,10,2009,1.5837,1.6064,1.6076,1.5827,-1.49
08,10,2009,1.6077,1.5963,1.6123,1.5949,0.72
07,10,2009,1.5962,1.5909,1.5972,1.5857,0.28
06,10,2009,1.5917,1.5940,1.6049,1.5876,-0.14
05,10,2009,1.5940,1.5938,1.6026,1.5901,-0.01
02,10,2009,1.5941,1.5934,1.5957,1.5804,-0.03
01,10,2009,1.5946,1.6007,1.6026,1.5926,-0.37
30,09,2009,1.6006,1.5958,1.6127,1.5946,0.29
29,09,2009,1.5960,1.5882,1.5991,1.5825,0.46
28,09,2009,1.5887,1.5970,1.5974,1.5770,-0.43
25,09,2009,1.5955,1.6065,1.6065,1.5917,-0.67
24,09,2009,1.6062,1.6334,1.6390,1.6023,-1.75
23,09,2009,1.6348,1.6353,1.6467,1.6329,-0.04
22,09,2009,1.6355,1.6206,1.6397,1.6206,0.88
21,09,2009,1.6212,1.6218,1.6266,1.6134,-0.36
18,09,2009,1.6271,1.6446,1.6454,1.6229,-1.06
17,09,2009,1.6446,1.6486,1.6570,1.6426,-0.26
16,09,2009,1.6489,1.6484,1.6535,1.6431,-0.01
15,09,2009,1.6491,1.6577,1.6661,1.6402,-0.48
14,09,2009,1.6571,1.6684,1.6688,1.6520,-0.55
11,09,2009,1.6663,1.6658,1.6744,1.6643,0.07
10,09,2009,1.6652,1.6548,1.6688,1.6480,0.66
09,09,2009,1.6542,1.6490,1.6593,1.6454,0.32
08,09,2009,1.6489,1.6344,1.6589,1.6322,0.87
07,09,2009,1.6347,1.6391,1.6446,1.6326,-0.28
04,09,2009,1.6393,1.6334,1.6412,1.6288,0.37
03,09,2009,1.6332,1.6269,1.6414,1.6237,0.37
02,09,2009,1.6271,1.6159,1.6302,1.6113,0.69
01,09,2009,1.6159,1.6279,1.6378,1.6113,-0.72
31,08,2009,1.6276,1.6266,1.6331,1.6183,0.04
28,08,2009,1.6269,1.6269,1.6382,1.6258,0.01
27,08,2009,1.6268,1.6232,1.6306,1.6153,0.17
26,08,2009,1.6241,1.6344,1.6357,1.6159,-0.59
25,08,2009,1.6338,1.6416,1.6446,1.6332,-0.51
24,08,2009,1.6421,1.6504,1.6549,1.6392,-0.52
21,08,2009,1.6507,1.6503,1.6624,1.6420,0.01
20,08,2009,1.6506,1.6538,1.6608,1.6449,-0.19
19,08,2009,1.6538,1.6557,1.6594,1.6374,-0.11
18,08,2009,1.6557,1.6336,1.6587,1.6324,1.30
17,08,2009,1.6345,1.6507,1.6520,1.6275,-1.18
14,08,2009,1.6541,1.6575,1.6610,1.6486,-0.25
13,08,2009,1.6582,1.6491,1.6667,1.6486,0.55
12,08,2009,1.6491,1.6478,1.6563,1.6391,0.04
11,08,2009,1.6485,1.6485,1.6528,1.6428,0.00
10,08,2009,1.6485,1.6672,1.6722,1.6432,-1.19
07,08,2009,1.6683,1.6781,1.6836,1.6653,-0.55
06,08,2009,1.6776,1.6991,1.7031,1.6752,-1.22
05,08,2009,1.6984,1.6930,1.7045,1.6901,0.30
04,08,2009,1.6934,1.6944,1.7006,1.6890,-0.01
03,08,2009,1.6936,1.6714,1.6988,1.6696,1.29
31,07,2009,1.6721,1.6494,1.6736,1.6473,1.31
30,07,2009,1.6504,1.6364,1.6528,1.6339,0.77
29,07,2009,1.6378,1.6434,1.6470,1.6346,-0.35
28,07,2009,1.6435,1.6491,1.6559,1.6390,-0.35
27,07,2009,1.6493,1.6448,1.6526,1.6383,0.38
24,07,2009,1.6431,1.6494,1.6544,1.6391,-0.31
23,07,2009,1.6482,1.6457,1.6588,1.6435,0.13
22,07,2009,1.6460,1.6458,1.6507,1.6311,0.09
21,07,2009,1.6446,1.6549,1.6555,1.6385,-0.60
20,07,2009,1.6545,1.6343,1.6559,1.6328,1.32
17,07,2009,1.6330,1.6439,1.6446,1.6267,-0.68
16,07,2009,1.6442,1.6421,1.6479,1.6355,0.09
15,07,2009,1.6427,1.6319,1.6471,1.6302,0.65
14,07,2009,1.6321,1.6233,1.6347,1.6230,0.55
13,07,2009,1.6231,1.6193,1.6240,1.6033,0.19
10,07,2009,1.6200,1.6338,1.6346,1.6154,-0.86
09,07,2009,1.6341,1.6056,1.6383,1.6029,1.71
08,07,2009,1.6067,1.6128,1.6140,1.5983,-0.39
07,07,2009,1.6130,1.6275,1.6298,1.6117,-0.90
06,07,2009,1.6276,1.6288,1.6329,1.6096,-0.39
03,07,2009,1.6340,1.6338,1.6434,1.6301,-0.11
02,07,2009,1.6358,1.6481,1.6502,1.6323,-0.72
01,07,2009,1.6476,1.6465,1.6546,1.6382,0.07
30,06,2009,1.6465,1.6559,1.6747,1.6423,-0.56
29,06,2009,1.6557,1.6502,1.6587,1.6429,0.21
26,06,2009,1.6522,1.6373,1.6562,1.6366,0.93
25,06,2009,1.6370,1.6418,1.6469,1.6233,-0.23
24,06,2009,1.6408,1.6454,1.6603,1.6370,-0.29
23,06,2009,1.6455,1.6347,1.6475,1.6208,0.69
22,06,2009,1.6342,1.6511,1.6517,1.6321,-1.00
19,06,2009,1.6507,1.6338,1.6568,1.6303,1.05
18,06,2009,1.6336,1.6391,1.6471,1.6189,-0.35
17,06,2009,1.6393,1.6398,1.6484,1.6221,-0.02
16,06,2009,1.6397,1.6305,1.6508,1.6215,0.56
15,06,2009,1.6305,1.6424,1.6444,1.6242,-0.85
12,06,2009,1.6444,1.6576,1.6601,1.6330,-0.79
11,06,2009,1.6575,1.6348,1.6623,1.6339,1.36
10,06,2009,1.6353,1.6312,1.6475,1.6242,0.25
09,06,2009,1.6313,1.6046,1.6364,1.5987,1.63
08,06,2009,1.6051,1.5953,1.6105,1.5801,0.45
