Date,Month,Year,Close,Open,High,Low,Change %
19,10,2018,1.579,1.544,1.579,1.527,2.47
18,10,2018,1.541,1.591,1.599,1.541,-2.22
17,10,2018,1.576,1.589,1.604,1.564,-2.11
16,10,2018,1.610,1.614,1.630,1.605,0.00
15,10,2018,1.610,1.614,1.622,1.599,-1.59
14,10,2018,1.636,1.636,1.636,1.636,0.12
12,10,2018,1.634,1.699,1.699,1.631,-2.39
11,10,2018,1.674,1.682,1.706,1.670,-3.18
10,10,2018,1.729,1.716,1.749,1.712,0.70
09,10,2018,1.717,1.711,1.721,1.684,2.45
08,10,2018,1.676,1.719,1.724,1.674,-2.84
05,10,2018,1.725,1.689,1.727,1.674,3.42
04,10,2018,1.668,1.636,1.678,1.629,5.77
03,10,2018,1.577,1.559,1.583,1.533,3.14
02,10,2018,1.529,1.563,1.567,1.526,-3.78
01,10,2018,1.589,1.578,1.604,1.577,0.82
29,09,2018,1.576,1.576,1.576,1.576,0.13
28,09,2018,1.574,1.572,1.587,1.543,-1.56
27,09,2018,1.599,1.564,1.600,1.544,0.25
26,09,2018,1.595,1.630,1.630,1.594,-2.33
25,09,2018,1.633,1.629,1.642,1.620,1.11
24,09,2018,1.615,1.551,1.618,1.549,3.73
22,09,2018,1.557,1.557,1.557,1.557,0.19
21,09,2018,1.554,1.595,1.599,1.541,-2.02
20,09,2018,1.586,1.604,1.623,1.586,-1.55
19,09,2018,1.611,1.572,1.618,1.566,2.61
18,09,2018,1.570,1.538,1.571,1.524,2.21
17,09,2018,1.536,1.533,1.549,1.517,3.50
16,09,2018,1.484,1.486,1.487,1.484,-3.01
14,09,2018,1.530,1.513,1.545,1.506,1.80
13,09,2018,1.503,1.490,1.525,1.480,1.35
12,09,2018,1.483,1.494,1.500,1.477,-1.13
11,09,2018,1.500,1.496,1.509,1.485,2.11
10,09,2018,1.469,1.452,1.487,1.450,0.48
09,09,2018,1.462,1.462,1.462,1.462,0.14
07,09,2018,1.460,1.422,1.467,1.422,3.03
06,09,2018,1.417,1.445,1.456,1.416,-1.87
05,09,2018,1.444,1.425,1.480,1.410,0.98
04,09,2018,1.430,1.417,1.433,1.393,1.71
03,09,2018,1.406,1.435,1.447,1.398,-1.75
02,09,2018,1.431,1.431,1.431,1.431,0.14
31,08,2018,1.429,1.454,1.465,1.420,-1.72
30,08,2018,1.454,1.485,1.493,1.454,-2.55
29,08,2018,1.492,1.445,1.502,1.438,2.75
28,08,2018,1.452,1.451,1.470,1.433,13.97
27,08,2018,1.274,1.274,1.274,1.274,-0.39
25,08,2018,1.279,1.279,1.279,1.279,0.08
24,08,2018,1.278,1.284,1.299,1.267,0.55
23,08,2018,1.271,1.265,1.288,1.260,-0.16
22,08,2018,1.273,1.260,1.278,1.249,0.47
21,08,2018,1.267,1.219,1.269,1.218,3.51
20,08,2018,1.224,1.236,1.251,1.216,-0.89
18,08,2018,1.235,1.235,1.235,1.235,0.00
17,08,2018,1.235,1.227,1.236,1.198,-0.32
16,08,2018,1.239,1.238,1.249,1.220,1.06
15,08,2018,1.226,1.264,1.267,1.212,-2.78
14,08,2018,1.261,1.272,1.288,1.257,0.56
13,08,2018,1.254,1.236,1.272,1.229,0.80
10,08,2018,1.244,1.246,1.270,1.240,-4.09
09,08,2018,1.297,1.304,1.319,1.290,-1.29
08,08,2018,1.314,1.324,1.336,1.310,-0.90
07,08,2018,1.326,1.304,1.339,1.294,1.69
06,08,2018,1.304,1.339,1.342,1.298,-1.95
05,08,2018,1.330,1.330,1.330,1.330,0.08
03,08,2018,1.329,1.352,1.377,1.327,-3.49
02,08,2018,1.377,1.386,1.403,1.350,-0.22
01,08,2018,1.380,1.351,1.392,1.349,3.68
31,07,2018,1.331,1.328,1.347,1.316,-0.97
30,07,2018,1.344,1.277,1.361,1.273,4.92
29,07,2018,1.281,1.281,1.281,1.281,0.08
27,07,2018,1.280,1.283,1.294,1.268,0.08
26,07,2018,1.279,1.293,1.299,1.272,0.47
25,07,2018,1.273,1.265,1.280,1.258,-0.24
24,07,2018,1.276,1.287,1.301,1.260,0.39
23,07,2018,1.271,1.244,1.275,1.225,3.08
22,07,2018,1.233,1.233,1.233,1.233,0.08
20,07,2018,1.232,1.173,1.239,1.168,3.88
19,07,2018,1.186,1.240,1.245,1.183,-3.42
18,07,2018,1.228,1.264,1.268,1.194,-2.62
17,07,2018,1.261,1.278,1.286,1.253,-1.56
16,07,2018,1.281,1.277,1.307,1.271,0.55
15,07,2018,1.274,1.274,1.274,1.274,0.08
13,07,2018,1.273,1.277,1.278,1.244,-0.78
12,07,2018,1.283,1.300,1.302,1.273,-0.93
11,07,2018,1.295,1.293,1.312,1.277,-0.54
10,07,2018,1.302,1.292,1.308,1.280,3.58
09,07,2018,1.257,1.287,1.314,1.255,-0.87
08,07,2018,1.268,1.268,1.268,1.268,0.00
06,07,2018,1.268,1.265,1.271,1.247,0.71
05,07,2018,1.259,1.297,1.305,1.253,-1.25
04,07,2018,1.275,1.252,1.283,1.240,2.57
03,07,2018,1.243,1.275,1.294,1.238,-0.96
02,07,2018,1.255,1.263,1.277,1.250,-1.80
29,06,2018,1.278,1.278,1.313,1.262,1.19
28,06,2018,1.263,1.235,1.263,1.235,1.28
27,06,2018,1.247,1.278,1.279,1.245,-4.37
26,06,2018,1.304,1.309,1.324,1.278,0.93
25,06,2018,1.292,1.285,1.320,1.268,-2.27
23,06,2018,1.322,1.322,1.322,1.322,0.15
22,06,2018,1.320,1.289,1.321,1.288,3.37
21,06,2018,1.277,1.301,1.348,1.273,-1.69
20,06,2018,1.299,1.284,1.299,1.273,1.41
19,06,2018,1.281,1.264,1.286,1.257,-3.17
18,06,2018,1.323,1.324,1.331,1.297,-0.45
16,06,2018,1.329,1.329,1.329,1.329,0.23
15,06,2018,1.326,1.301,1.342,1.283,-0.67
14,06,2018,1.335,1.374,1.389,1.326,-2.41
13,06,2018,1.368,1.398,1.399,1.350,-2.29
12,06,2018,1.400,1.414,1.440,1.391,-0.43
11,06,2018,1.406,1.426,1.431,1.394,1.08
09,06,2018,1.391,1.391,1.391,1.391,0.14
08,06,2018,1.389,1.356,1.397,1.326,-0.71
07,06,2018,1.399,1.404,1.419,1.377,1.82
06,06,2018,1.374,1.311,1.383,1.310,6.93
05,06,2018,1.285,1.292,1.323,1.278,-0.93
04,06,2018,1.297,1.294,1.306,1.275,1.09
01,06,2018,1.283,1.277,1.305,1.253,4.39
31,05,2018,1.229,1.262,1.286,1.219,-2.23
30,05,2018,1.257,1.241,1.270,1.210,5.19
29,05,2018,1.195,1.254,1.285,1.107,-9.81
28,05,2018,1.325,1.325,1.325,1.325,0.00
27,05,2018,1.325,1.319,1.325,1.319,0.15
25,05,2018,1.323,1.387,1.392,1.300,-5.57
24,05,2018,1.401,1.448,1.459,1.387,-2.64
23,05,2018,1.439,1.476,1.483,1.431,-5.45
22,05,2018,1.522,1.491,1.532,1.486,3.12
21,05,2018,1.476,1.502,1.505,1.469,-1.67
20,05,2018,1.501,1.502,1.502,1.501,0.07
18,05,2018,1.500,1.558,1.558,1.497,-3.97
17,05,2018,1.562,1.541,1.565,1.518,3.93
16,05,2018,1.503,1.503,1.513,1.484,-0.99
15,05,2018,1.518,1.490,1.518,1.471,3.13
14,05,2018,1.472,1.447,1.490,1.447,2.15
13,05,2018,1.441,1.441,1.441,1.441,0.14
11,05,2018,1.439,1.422,1.451,1.417,0.63
10,05,2018,1.430,1.451,1.472,1.404,-1.99
09,05,2018,1.459,1.452,1.484,1.451,0.97
08,05,2018,1.445,1.398,1.447,1.384,3.29
07,05,2018,1.399,1.399,1.399,1.399,-0.07
04,05,2018,1.400,1.393,1.403,1.360,0.65
03,05,2018,1.391,1.462,1.479,1.377,-4.60
02,05,2018,1.458,1.422,1.467,1.421,3.62
01,05,2018,1.407,1.424,1.433,1.396,-0.78
30,04,2018,1.418,1.454,1.459,1.416,-1.94
