Date,Month,Year,Close,Open,High,Low,Change %
24,11,2009,3.652,3.652,3.652,3.652,-0.35
23,11,2009,3.665,3.665,3.665,3.665,0.69
20,11,2009,3.640,3.640,3.640,3.640,-0.52
19,11,2009,3.659,3.659,3.659,3.659,-0.52
18,11,2009,3.678,3.678,3.678,3.678,0.44
17,11,2009,3.662,3.662,3.662,3.662,-2.14
16,11,2009,3.742,3.742,3.742,3.742,-1.34
13,11,2009,3.793,3.793,3.793,3.793,0.34
12,11,2009,3.780,3.780,3.780,3.780,0.61
11,11,2009,3.757,3.757,3.757,3.757,-0.84
10,11,2009,3.789,3.789,3.789,3.789,-1.20
09,11,2009,3.835,3.835,3.835,3.835,-1.34
06,11,2009,3.887,3.887,3.887,3.887,0.86
05,11,2009,3.854,3.854,3.854,3.854,1.69
04,11,2009,3.790,3.790,3.790,3.790,1.91
03,11,2009,3.719,3.719,3.719,3.719,1.61
02,11,2009,3.660,3.660,3.660,3.660,1.33
30,10,2009,3.612,3.612,3.612,3.612,-1.74
29,10,2009,3.676,3.676,3.676,3.676,1.80
28,10,2009,3.611,3.611,3.611,3.611,-0.11
27,10,2009,3.615,3.615,3.615,3.615,-2.22
26,10,2009,3.697,3.697,3.697,3.697,0.38
23,10,2009,3.683,3.683,3.683,3.683,-0.70
22,10,2009,3.709,3.709,3.709,3.709,-0.13
21,10,2009,3.714,3.714,3.714,3.714,4.89
20,10,2009,3.541,3.541,3.541,3.541,-1.45
19,10,2009,3.593,3.593,3.593,3.593,-0.44
16,10,2009,3.609,3.609,3.609,3.609,1.18
15,10,2009,3.567,3.567,3.567,3.567,1.74
14,10,2009,3.506,3.506,3.506,3.506,3.21
13,10,2009,3.397,3.397,3.397,3.397,0.56
12,10,2009,3.378,3.378,3.378,3.378,-2.00
09,10,2009,3.447,3.447,3.447,3.447,2.77
08,10,2009,3.354,3.354,3.354,3.354,-0.62
07,10,2009,3.375,3.375,3.375,3.375,-0.88
06,10,2009,3.405,3.405,3.405,3.405,0.32
05,10,2009,3.394,3.394,3.394,3.394,-0.85
02,10,2009,3.423,3.423,3.423,3.423,-1.47
01,10,2009,3.474,3.474,3.474,3.474,-3.29
30,09,2009,3.592,3.592,3.592,3.592,-0.31
29,09,2009,3.603,3.603,3.603,3.603,-0.58
28,09,2009,3.624,3.624,3.624,3.624,0.83
25,09,2009,3.594,3.594,3.594,3.594,-2.76
24,09,2009,3.696,3.696,3.696,3.696,-1.31
23,09,2009,3.745,3.745,3.745,3.745,-0.48
22,09,2009,3.763,3.763,3.763,3.763,0.61
21,09,2009,3.740,3.740,3.740,3.740,-0.03
18,09,2009,3.741,3.741,3.741,3.741,0.59
17,09,2009,3.719,3.719,3.719,3.719,1.09
16,09,2009,3.679,3.679,3.679,3.679,1.97
15,09,2009,3.608,3.608,3.608,3.608,0.11
14,09,2009,3.604,3.604,3.604,3.604,0.11
11,09,2009,3.600,3.600,3.600,3.600,-1.96
10,09,2009,3.672,3.672,3.672,3.672,-2.31
09,09,2009,3.759,3.759,3.759,3.759,2.17
08,09,2009,3.679,3.679,3.679,3.679,1.24
07,09,2009,3.634,3.634,3.634,3.634,0.08
04,09,2009,3.631,3.631,3.631,3.631,1.23
03,09,2009,3.587,3.587,3.587,3.587,1.36
02,09,2009,3.539,3.539,3.539,3.539,-0.17
01,09,2009,3.545,3.545,3.545,3.545,0.00
28,08,2009,3.545,3.545,3.545,3.545,-0.20
27,08,2009,3.552,3.552,3.552,3.552,0.06
26,08,2009,3.550,3.550,3.550,3.550,-0.14
25,08,2009,3.555,3.555,3.555,3.555,-1.93
24,08,2009,3.625,3.625,3.625,3.625,-0.14
21,08,2009,3.630,3.630,3.630,3.630,0.95
20,08,2009,3.596,3.596,3.596,3.596,-0.06
19,08,2009,3.598,3.598,3.598,3.598,-1.53
18,08,2009,3.654,3.654,3.654,3.654,1.27
17,08,2009,3.608,3.608,3.608,3.608,-2.17
14,08,2009,3.688,3.688,3.688,3.688,-2.28
13,08,2009,3.774,3.774,3.774,3.774,-0.29
12,08,2009,3.785,3.785,3.785,3.785,-0.55
11,08,2009,3.806,3.806,3.806,3.806,0.98
10,08,2009,3.769,3.769,3.769,3.769,-0.95
07,08,2009,3.805,3.805,3.805,3.805,2.09
06,08,2009,3.727,3.727,3.727,3.727,-2.41
05,08,2009,3.819,3.819,3.819,3.819,-0.88
